index,task,image_path,true_caption,false_caption,clip_true,clip_false,clip_margin,clip_correct,model_true,model_false,model_margin,model_correct,margin_improvement,delta_true,delta_false,gate_true,gate_false,residual_scale
4285,relation,/home/springwillow/Projects/Structure-CLIP-amr/data/visual_genome_data/vg_image/2357112.jpg,the cream is to the left of the chocolate,the chocolate is to the left of the cream,0.30234861373901367,0.30103662610054016,0.0013119876384735107,1,0.3987601399421692,0.17097307741641998,0.2277870625257492,1,0.2264750748872757,1.7823224067687988,-2.4044344425201416,0.2960897386074066,0.2960897386074066,0.18269191682338715
16795,relation,/home/springwillow/Projects/Structure-CLIP-amr/data/visual_genome_data/vg_image/2375931.jpg,the food is to the right of the glass,the glass is to the right of the food,0.2770395278930664,0.27594706416130066,0.001092463731765747,1,0.3437823951244354,0.1185336709022522,0.22524872422218323,1,0.22415626049041748,1.231143832206726,-2.903658628463745,0.29674047231674194,0.29674047231674194,0.18269191682338715
4349,relation,/home/springwillow/Projects/Structure-CLIP-amr/data/visual_genome_data/vg_image/2393775.jpg,the luggage cart is inside the airport,the airport is inside the luggage cart,0.28962045907974243,0.29181718826293945,-0.0021967291831970215,0,0.442230761051178,0.22713539004325867,0.2150953710079193,1,0.21729210019111633,2.8463189601898193,-1.2063735723495483,0.2934816777706146,0.2934816777706146,0.18269191682338715
3159,relation,/home/springwillow/Projects/Structure-CLIP-amr/data/visual_genome_data/vg_image/2376660.jpg,the stuffed animals is on the bed,the bed is on the stuffed animals,0.23412954807281494,0.23486843705177307,-0.0007388889789581299,0,0.3782419264316559,0.16336971521377563,0.21487221121788025,1,0.21561110019683838,2.6489248275756836,-1.3142157793045044,0.2977915108203888,0.2977915108203888,0.18269191682338715
14562,relation,/home/springwillow/Projects/Structure-CLIP-amr/data/visual_genome_data/vg_image/2322800.jpg,the hand is holding the donut,the donut is holding the hand,0.23939254879951477,0.24005001783370972,-0.0006574690341949463,0,0.3726213276386261,0.15795940160751343,0.21466192603111267,1,0.21531939506530762,2.44688081741333,-1.5076767206192017,0.29803407192230225,0.29803407192230225,0.18269191682338715
16519,relation,/home/springwillow/Projects/Structure-CLIP-amr/data/visual_genome_data/vg_image/2353576.jpg,the guy is feeding the giraffe,the giraffe is feeding the guy,0.29400718212127686,0.2884811758995056,0.00552600622177124,1,0.42360663414001465,0.20466530323028564,0.218941330909729,1,0.21341532468795776,2.498974084854126,-1.6161617040634155,0.28387171030044556,0.28387171030044556,0.18269191682338715
9970,relation,/home/springwillow/Projects/Structure-CLIP-amr/data/visual_genome_data/vg_image/2359989.jpg,the coat is to the right of the stone,the stone is to the right of the coat,0.2001955211162567,0.20285600423812866,-0.0026604831218719482,0,0.2656233012676239,0.054918110370635986,0.21070519089698792,1,0.21336567401885986,1.2259589433670044,-2.7719993591308594,0.29212382435798645,0.29212382435798645,0.18269191682338715
16520,relation,/home/springwillow/Projects/Structure-CLIP-amr/data/visual_genome_data/vg_image/2353576.jpg,the guy is feeding the giraffe,the giraffe is feeding the guy,0.3132023811340332,0.30694547295570374,0.006256908178329468,1,0.4414517283439636,0.22351868450641632,0.2179330438375473,1,0.21167613565921783,2.4910812377929688,-1.6204599142074585,0.28180447220802307,0.28180447220802307,0.18269191682338715
307,relation,/home/springwillow/Projects/Structure-CLIP-amr/data/visual_genome_data/vg_image/2318908.jpg,the food is to the left of the container,the container is to the left of the food,0.27281925082206726,0.27879786491394043,-0.005978614091873169,0,0.3304559588432312,0.1249958872795105,0.2054600715637207,1,0.21143868565559387,1.1164088249206543,-2.979106903076172,0.2825898230075836,0.2825898230075836,0.18269191682338715
11877,relation,/home/springwillow/Projects/Structure-CLIP-amr/data/visual_genome_data/vg_image/2404130.jpg,the food is to the left of the container,the container is to the left of the food,0.25355440378189087,0.26446717977523804,-0.010912775993347168,0,0.3131486475467682,0.11299997568130493,0.20014867186546326,1,0.21106144785881042,1.2127110958099365,-3.0822763442993164,0.26898476481437683,0.26898476481437683,0.18269191682338715
20801,relation,/home/springwillow/Projects/Structure-CLIP-amr/data/visual_genome_data/vg_image/2375675.jpg,the scissors is cutting the paper,the paper is cutting the scissors,0.24825593829154968,0.23682664334774017,0.01142929494380951,1,0.39131391048431396,0.17051585018634796,0.220798060297966,1,0.2093687653541565,2.9262287616729736,-1.3563770055770874,0.2675989866256714,0.2675989866256714,0.18269191682338715
1816,relation,/home/springwillow/Projects/Structure-CLIP-amr/data/visual_genome_data/vg_image/2335043.jpg,the salad is to the left of the fork,the fork is to the left of the salad,0.26353156566619873,0.2667331099510193,-0.0032015442848205566,0,0.34452593326568604,0.1385871320962906,0.20593880116939545,1,0.209140345454216,1.5258727073669434,-2.4141736030578613,0.2905474901199341,0.2905474901199341,0.18269191682338715
1820,relation,/home/springwillow/Projects/Structure-CLIP-amr/data/visual_genome_data/vg_image/286059.jpg,the child is to the right of the teddy bear,the teddy bear is to the right of the child,0.2918911576271057,0.28797271847724915,0.003918439149856567,1,0.3579202890396118,0.1454184204339981,0.2125018686056137,1,0.20858342945575714,1.252888560295105,-2.7049379348754883,0.2884720265865326,0.2884720265865326,0.18269191682338715
326,relation,/home/springwillow/Projects/Structure-CLIP-amr/data/visual_genome_data/vg_image/2320346.jpg,the microwave is below the wall,the wall is below the microwave,0.3149184584617615,0.31433945894241333,0.0005789995193481445,1,0.44861263036727905,0.24117395281791687,0.20743867754936218,1,0.20685967803001404,2.4535021781921387,-1.342704176902771,0.29826802015304565,0.29826802015304565,0.18269191682338715
10422,relation,/home/springwillow/Projects/Structure-CLIP-amr/data/visual_genome_data/vg_image/2409167.jpg,the street sign is at the intersection,the intersection is at the street sign,0.2624152600765228,0.26290133595466614,-0.00048607587814331055,0,0.39803293347358704,0.1923682689666748,0.20566466450691223,1,0.20615074038505554,2.486489772796631,-1.2931925058364868,0.29854533076286316,0.29854533076286316,0.18269191682338715
16852,relation,/home/springwillow/Projects/Structure-CLIP-amr/data/visual_genome_data/vg_image/498003.jpg,the robe is to the left of the tree,the tree is to the left of the robe,0.21946221590042114,0.22096920013427734,-0.0015069842338562012,0,0.326298326253891,0.12224417924880981,0.20405414700508118,1,0.20556113123893738,1.97889244556427,-1.828653335571289,0.29551294445991516,0.29551294445991516,0.18269191682338715
1819,relation,/home/springwillow/Projects/Structure-CLIP-amr/data/visual_genome_data/vg_image/286059.jpg,the child is to the left of the teddy bear,the teddy bear is to the left of the child,0.2995811998844147,0.2979668378829956,0.0016143620014190674,1,0.36435574293136597,0.15765069425106049,0.20670504868030548,1,0.2050906866788864,1.2010881900787354,-2.601825475692749,0.2951957881450653,0.2951957881450653,0.18269191682338715
8339,relation,/home/springwillow/Projects/Structure-CLIP-amr/data/visual_genome_data/vg_image/2369322.jpg,the dress is to the left of the vest,the vest is to the left of the dress,0.23000720143318176,0.23076969385147095,-0.0007624924182891846,0,0.3139951825141907,0.11099283397197723,0.20300234854221344,1,0.20376484096050262,1.544144630432129,-2.202134132385254,0.2977212369441986,0.2977212369441986,0.18269191682338715
20813,relation,/home/springwillow/Projects/Structure-CLIP-amr/data/visual_genome_data/vg_image/2373631.jpg,the sheep is to the left of the clothes,the clothes is to the left of the sheep,0.2888965308666229,0.28663069009780884,0.002265840768814087,1,0.36135363578796387,0.15574447810649872,0.20560915768146515,1,0.20334331691265106,1.3523240089416504,-2.4428329467773438,0.29327890276908875,0.29327890276908875,0.18269191682338715
7246,relation,/home/springwillow/Projects/Structure-CLIP-amr/data/visual_genome_data/vg_image/2335594.jpg,the planter is to the left of the container,the container is to the left of the planter,0.2561359703540802,0.24790795147418976,0.008228018879890442,1,0.3453882038593292,0.13441863656044006,0.21096956729888916,1,0.20274154841899872,1.7681225538253784,-2.2482686042785645,0.27630415558815,0.27630415558815,0.18269191682338715
10171,relation,/home/springwillow/Projects/Structure-CLIP-amr/data/visual_genome_data/vg_image/2401635.jpg,the blanket is on top of the bed,the bed is on top of the blanket,0.27813300490379333,0.27600422501564026,0.002128779888153076,1,0.4254806935787201,0.2209724336862564,0.20450825989246368,1,0.2023794800043106,2.7462997436523438,-1.0256949663162231,0.29368114471435547,0.29368114471435547,0.18269191682338715
11565,relation,/home/springwillow/Projects/Structure-CLIP-amr/data/visual_genome_data/vg_image/2372481.jpg,the magazine is to the right of the glass,the glass is to the right of the magazine,0.24915637075901031,0.25302281975746155,-0.003866448998451233,0,0.32742226123809814,0.12907898426055908,0.19834327697753906,1,0.2022097259759903,1.4843066930770874,-2.350585460662842,0.28862205147743225,0.28862205147743225,0.18269191682338715
6288,relation,/home/springwillow/Projects/Structure-CLIP-amr/data/visual_genome_data/vg_image/2317922.jpg,the beef is to the right of the nuts,the nuts is to the right of the beef,0.21828176081180573,0.22635096311569214,-0.008069202303886414,0,0.2832052707672119,0.08912424743175507,0.19408102333545685,1,0.20215022563934326,1.284119963645935,-2.7142019271850586,0.2767433524131775,0.2767433524131775,0.18269191682338715
19144,relation,/home/springwillow/Projects/Structure-CLIP-amr/data/visual_genome_data/vg_image/2413251.jpg,the box is contain the pizza,the pizza is contain the box,0.2561505436897278,0.2691846489906311,-0.01303410530090332,0,0.3794785737991333,0.19068245589733124,0.18879611790180206,1,0.20183022320270538,2.5634660720825195,-1.6317273378372192,0.2633388042449951,0.2633388042449951,0.18269191682338715
18983,relation,/home/springwillow/Projects/Structure-CLIP-amr/data/visual_genome_data/vg_image/150282.jpg,the jackets is on the bed,the bed is on the jackets,0.29247039556503296,0.2831971049308777,0.009273290634155273,1,0.42367255687713623,0.21341809630393982,0.2102544605731964,1,0.20098116993904114,2.6264777183532715,-1.396875023841858,0.27343109250068665,0.27343109250068665,0.18269191682338715
4119,relation,/home/springwillow/Projects/Structure-CLIP-amr/data/visual_genome_data/vg_image/2388962.jpg,the catcher is to the left of the pants,the pants is to the left of the catcher,0.2883033752441406,0.2913523018360138,-0.003048926591873169,0,0.3774416446685791,0.18046513199806213,0.19697651267051697,1,0.20002543926239014,1.676736831665039,-2.0858452320098877,0.29099124670028687,0.29099124670028687,0.18269191682338715
22122,relation,/home/springwillow/Projects/Structure-CLIP-amr/data/visual_genome_data/vg_image/1526.jpg,the chair is close to the monitor,the monitor is close to the chair,0.3010699152946472,0.2975921928882599,0.003477722406387329,1,0.43500328063964844,0.2320825159549713,0.20292076468467712,1,0.1994430422782898,2.530181646347046,-1.2375659942626953,0.2897461950778961,0.2897461950778961,0.18269191682338715
1075,relation,/home/springwillow/Projects/Structure-CLIP-amr/data/visual_genome_data/vg_image/2333753.jpg,the sheep is to the right of the hose,the hose is to the right of the sheep,0.29261091351509094,0.2978014349937439,-0.005190521478652954,0,0.3453538119792938,0.15191234648227692,0.1934414654970169,1,0.19863198697566986,1.0135973691940308,-2.8036539554595947,0.2848256528377533,0.2848256528377533,0.18269191682338715
20094,relation,/home/springwillow/Projects/Structure-CLIP-amr/data/visual_genome_data/vg_image/2336064.jpg,the computer is to the left of the computer monitor,the computer monitor is to the left of the computer,0.324582576751709,0.3226032257080078,0.001979351043701172,1,0.4145596921443939,0.21486055850982666,0.19969913363456726,1,0.1977197825908661,1.6745096445083618,-2.005133628845215,0.29412034153938293,0.29412034153938293,0.18269191682338715
